Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
在线耍酷｜这个转头够丝滑不？#360度转头变装 #变装 #西装杀 #甜酷指数在线battle,08-24 17:32:29,9秒,--,--,3851,359,264,Zi An
让我看看谁的小眼神还没看我？#眼神锁定变装 #西装杀 #眼镜杀 #变装,08-23 18:27:19,5秒,--,--,6100,348,240,Zi An
99%的女孩纸都该拥有这些包包！向经典respect！#奢侈品 #包包推荐 #时尚 #包包控,08-19 17:40:45,1分30秒,--,--,5508,211,446,Zi An
我到底哪里不如一只包了？#抖音818好物节 #包包控,08-18 18:53:26,18秒,--,--,589,55,35,Zi An
收到D级奢品“八抬大轿”送来的一整“橱”衣服，是种什么样的体验？太爽了！#bv #时尚穿搭 #vlog日常 #奢侈品,08-12 17:09:57,5分27秒,--,--,2488,280,197,Zi An
盘盘大牌包中的当家花旦们～#抖音818新潮好物节,08-11 13:19:17,1分8秒,--,--,6049,216,413,Zi An
真拿你们这帮小可爱没办法，我坦白还不行嘛～#2021美一下#护肤分享 #国货之光,08-10 21:05:04,1分3秒,--,--,6486,134,77,Zi An
#抖音818新潮好物节 #818你有什么宝 8月8号，你们想要的各种宝，1号lian接已备好～,08-04 18:41:37,36秒,--,--,4312,65,38,Zi An
#七夕 送礼老大难？今晚七点，0失误送礼清单，#BALLY 包了！#七夕礼物,08-03 14:03:49,51秒,--,--,593,53,79,Zi An
被同事追着问的#通勤包，我招了...#奢侈品包包 #打工人 #职场穿搭 #包包推荐 #时尚,07-29 19:10:38,1分38秒,--,--,11527,298,598,Zi An
7月28号晚19:00，跟我一起告别脆弱肌，护肤不（出）“错”#一喷就稳了 #抖音超品日 #拯救敏感肌,07-27 19:51:37,17秒,--,--,1393,108,55,Zi An
尽绵薄之力，愿风雨同舟共渡难关。请给河南捐款捐物的品牌联系我们，直播间优先排期。#河南一定行 #河南加油 ??,07-25 15:34:11,41秒,--,--,6723,327,81,Zi An
别只顾吃瓜！也来看看有钱人才（未必）知道的冷知识吧！ #涨知识 #奢侈品 #时尚 #大牌 @DOU+小助手,07-21 20:17:40,1分2秒,--,--,12596,210,649,Zi An
